Orig,Dest,Miles,Trip_type,Avg_rate,Loads_Available,Cargo_Type,PickUpDay,DeliveryDay
Denver (CO),Eau Claire (WI),959.0,Loaded,$1.01,13.0,FTL,1.0,3.0
Eau Claire (WI),"Brooklyn (NJ, NY)",1105.0,Loaded,$2.02,163.0,FTL,3.0,4.0
"Brooklyn (NJ, NY)",Denver (CO),1769.0,Loaded,$1.51,42.0,FTL,4.0,7.0
end,,,,,,,,
Denver (CO),Eau Claire (WI),959.0,Loaded,$1.01,13.0,FTL,1.0,3.0
Eau Claire (WI),"Brooklyn (NJ, NY)",1105.0,Loaded,$2.02,163.0,FTL,3.0,4.0
"Brooklyn (NJ, NY)",Denver (CO),1769.0,Loaded,$1.51,42.0,FTL,4.0,7.0
end,,,,,,,,
Denver (CO),Eau Claire (WI),807.0,Loaded,$0.87,26.0,FTL,1.0,2.0
Eau Claire (WI),"Brooklyn (NJ, NY)",1303.0,Loaded,$1.89,21.0,FTL,2.0,4.0
"Brooklyn (NJ, NY)",Denver (CO),1278.0,Loaded,$2.94,53.0,FTL,4.0,7.0
end,,,,,,,,
Denver (CO),Eau Claire (WI),959.0,Loaded,$1.01,13.0,FTL,1.0,3.0
Eau Claire (WI),"Brooklyn (NJ, NY)",1105.0,Loaded,$2.02,163.0,FTL,3.0,4.0
"Brooklyn (NJ, NY)",Denver (CO),1769.0,Loaded,$1.51,42.0,FTL,4.0,7.0
end,,,,,,,,
Denver (CO),Eau Claire (WI),959.0,Loaded,$1.01,13.0,FTL,1.0,3.0
Eau Claire (WI),"Brooklyn (NJ, NY)",1105.0,Loaded,$2.02,163.0,FTL,3.0,4.0
"Brooklyn (NJ, NY)",Denver (CO),1769.0,Loaded,$1.51,42.0,FTL,4.0,7.0
end,,,,,,,,
