Orig,Dest,Miles,Trip_type,Avg_rate,Loads_Available,Cargo_Type,PickUpDay,DeliveryDay
Eugene (OR),Chandler (AZ),1305.0,Loaded,$1.64,31.0,FTL,1.0,3.0
Chandler (AZ),Eugene (OR),1303.0,Loaded,$1.89,21.0,FTL,3.0,5.0
end,,,,,,,,
Eugene (OR),Chandler (AZ),1305.0,Loaded,$1.64,31.0,FTL,1.0,3.0
Chandler (AZ),Eugene (OR),1303.0,Loaded,$1.89,21.0,FTL,3.0,5.0
end,,,,,,,,
Eugene (OR),Chandler (AZ),1305.0,Loaded,$1.64,31.0,FTL,1.0,3.0
Chandler (AZ),Eugene (OR),1303.0,Loaded,$1.89,21.0,FTL,3.0,5.0
end,,,,,,,,
Eugene (OR),Chandler (AZ),1305.0,Loaded,$1.64,31.0,FTL,1.0,3.0
Chandler (AZ),Eugene (OR),1303.0,Loaded,$1.89,21.0,FTL,3.0,5.0
end,,,,,,,,
Eugene (OR),Chandler (AZ),1305.0,Loaded,$1.64,31.0,FTL,1.0,3.0
Chandler (AZ),Eugene (OR),1303.0,Loaded,$1.89,21.0,FTL,3.0,5.0
end,,,,,,,,
